global_step,stage,split,policy_loss,value_loss,entropy,approx_kl
512,1,train_update,-0.017797115026041865,0.0383203083765693,1.377970140427351,0.010539887560298666
512,1.0,eval,2.0,-0.8100000000000005,80.0,0.0,0.0,1.0
4096,1,train_update,-0.00636326712265145,0.03666067763697356,1.3821555189788342,0.0066448248144297395
8192,1,train_update,-0.0055861044966150075,0.032382339297328144,1.3758810870349407,0.00318843638888211
12288,1,train_update,-0.007235060271341354,0.03631230170140043,1.3623842261731625,0.006755774247722002
16384,1,train_update,-0.009536052755720448,0.038122270023450255,1.3595792353153229,0.006152463003672892
20480,1,train_update,-0.01338087540352717,0.03837817505700514,1.3406557515263557,0.009548834874294698
24576,1,train_update,-0.015671663866669405,0.04675962892360985,1.3170766793191433,0.011912324418517528
28672,1,train_update,-0.014192061007634038,0.05090311088133603,1.2754625007510185,0.011716754852386657
32768,1,train_update,-0.017311957548372447,0.058670847094617784,1.2260133102536201,0.012663908099057153
36864,1,train_update,-0.014229070089641027,0.053182105300948024,1.1708673872053623,0.013889759418816539
40960,1,train_update,-0.012417175305017736,0.04470013524405658,1.1135225780308247,0.01571852578490507
45056,1,train_update,-0.015028224486741237,0.03999873041175306,1.0102792866528034,0.014869415954308352
49152,1,train_update,-0.010869810896110721,0.03553979838034138,1.0091911815106869,0.013239782798336819
53248,1,train_update,-0.004882497356447857,0.023841643414925784,0.9241860937327147,0.013931188004789874
57344,1,train_update,-0.006198688119184226,0.02013751066988334,0.9349357094615698,0.013043350369116524
61440,1,train_update,-0.007669419355806895,0.024859329918399453,0.907287510111928,0.014049967692699283
65536,1,train_update,-0.006289279292104766,0.020962446316843852,0.8756800796836615,0.014432446303544566
69632,1,train_update,-0.007690016413107514,0.016205127991270274,0.8207814153283834,0.01610320653708186
73728,1,train_update,-0.006366817717207596,0.02059807482874021,0.7905739173293114,0.012454871102818288
77824,1,train_update,-0.007419278859742917,0.017773958214093,0.7280333209782839,0.013985593395773321
81920,1,train_update,-0.00480295876332093,0.013093217770801857,0.7091365549713373,0.019706615908944514
86016,1,train_update,-0.007317946117836982,0.025561964139342308,0.6999127771705389,0.017652812952292152
90112,1,train_update,-0.008122666287817992,0.018662230257177725,0.6562621425837278,0.015918870751193026
